team,season_year,games_played,avg_points,avg_3pm,avg_assists,avg_steals,avg_blocks,avg_def_reb,avg_turnovers,win_pct,rank_offense,rank_defense
Los Angeles Lakers,2018,90,110.8,10.7,24.4,7.8,5.0,36.4,15.8,53.3,10,5
New Orleans Pelicans,2018,98,113.6,9.8,26.8,7.9,6.0,36.4,14.8,53.1,1,1
Charlotte Hornets,2018,87,112.5,11.5,23.2,7.2,4.9,35.1,12.6,51.7,4,12
San Antonio Spurs,2018,93,106.9,8.8,23.7,7.3,5.0,34.1,12.4,50.5,17,18
Miami Heat,2018,92,106.4,11.2,23.4,8.0,5.9,35.0,14.6,50.0,20,8
Minnesota Timberwolves,2018,92,110.2,8.9,23.1,8.3,4.9,32.8,12.7,46.7,11,20
Washington Wizards,2018,92,109.5,10.2,26.0,8.3,4.9,32.4,14.9,44.6,13,25
Cleveland Cavaliers,2018,109,106.1,10.2,21.1,6.7,3.5,32.9,13.3,44.0,24,30
Detroit Pistons,2018,86,106.0,11.0,22.9,7.2,4.2,34.6,13.8,43.0,25,20
Sacramento Kings,2018,87,106.8,10.2,23.6,7.9,4.2,32.7,13.6,40.2,19,29
Brooklyn Nets,2018,88,107.9,12.6,23.9,6.4,4.8,34.3,15.2,38.6,15,26
Orlando Magic,2018,85,102.4,10.3,24.0,7.3,5.1,33.4,14.2,35.3,29,23
Dallas Mavericks,2018,83,107.0,11.9,23.0,7.6,4.1,34.1,14.0,34.9,16,23
Memphis Grizzlies,2018,86,101.0,9.2,22.6,8.3,5.2,31.5,15.1,34.9,30,28
Atlanta Hawks,2018,87,106.2,11.5,24.4,8.0,5.0,34.2,17.2,31.0,23,12
Chicago Bulls,2018,88,102.8,10.4,22.5,8.0,4.1,34.7,14.7,29.5,28,16
New York Knicks,2018,88,106.3,9.3,21.8,7.0,5.1,33.7,14.5,26.1,22,22
Phoenix Suns,2018,86,103.5,9.8,22.8,8.0,4.5,32.8,16.0,19.8,27,27
Golden State Warriors,2017,106,115.8,12.0,29.7,9.1,7.4,35.1,15.0,80.2,1,1
Boston Celtics,2017,110,106.4,12.3,24.4,7.6,4.3,33.5,13.9,69.1,11,20
Houston Rockets,2017,97,114.1,14.7,23.2,8.5,4.4,33.7,14.9,66.0,2,8
San Antonio Spurs,2017,107,104.3,9.1,23.1,7.5,5.7,33.9,13.7,65.4,19,5
Washington Wizards,2017,104,109.0,9.7,23.7,8.1,4.6,33.1,14.0,61.5,5,15
Toronto Raptors,2017,99,106.0,9.4,19.9,8.1,5.2,33.1,13.8,60.6,14,11
Miami Heat,2017,90,103.6,11.0,21.2,7.5,5.4,33.0,14.6,58.9,20,14
Cleveland Cavaliers,2017,109,110.5,12.9,22.9,6.8,4.0,34.0,14.2,58.7,4,23
Los Angeles Clippers,2017,93,106.7,10.2,21.8,7.3,4.1,33.4,13.9,53.8,9,23
Portland Trail Blazers,2017,91,105.6,10.0,19.4,7.0,5.2,34.9,14.3,53.8,15,5
Utah Jazz,2017,99,101.5,10.2,20.9,8.1,4.6,32.8,13.8,53.5,27,16
Denver Nuggets,2017,90,111.0,11.3,25.4,7.5,4.1,33.9,15.0,53.3,3,16
Oklahoma City Thunder,2017,93,105.1,9.3,20.5,8.7,5.2,33.6,14.8,52.7,17,3
Indiana Pacers,2017,92,106.3,9.4,22.8,8.0,4.6,32.5,13.6,51.1,12,21
Milwaukee Bucks,2017,94,102.7,8.9,23.3,8.3,5.2,30.5,13.9,51.1,25,26
Minnesota Timberwolves,2017,89,107.5,7.3,23.8,8.5,4.2,31.1,13.7,50.6,7,27
Detroit Pistons,2017,87,102.9,9.1,21.6,7.3,3.6,33.8,12.8,50.6,24,25
New Orleans Pelicans,2017,87,107.7,10.3,24.3,7.7,5.1,34.5,14.3,44.8,6,4
Chicago Bulls,2017,96,102.3,9.5,23.6,7.6,4.2,34.8,14.1,44.8,26,10
Dallas Mavericks,2017,92,100.6,11.5,21.9,7.0,3.8,32.4,12.5,43.5,28,29
Philadelphia 76ers,2017,91,106.3,10.2,25.2,8.8,5.0,34.6,17.2,42.9,12,2
Atlanta Hawks,2017,96,103.6,9.8,23.6,8.0,4.3,33.1,15.7,41.7,20,19
Memphis Grizzlies,2017,94,100.5,9.5,21.4,7.4,4.3,31.4,13.4,40.4,29,30
New York Knicks,2017,90,103.3,8.1,22.1,7.1,5.0,33.0,14.8,36.7,23,21
Charlotte Hornets,2017,89,104.4,9.7,21.7,6.9,4.5,34.7,12.4,36.0,18,12
Sacramento Kings,2017,91,100.1,8.9,22.0,7.6,4.0,31.7,14.9,34.1,30,28
Phoenix Suns,2017,90,107.4,7.9,20.4,7.3,5.1,33.6,15.5,32.2,8,13
Orlando Magic,2017,91,103.4,9.3,22.9,7.5,4.6,33.4,14.4,31.9,22,16
Brooklyn Nets,2017,90,106.7,11.2,22.1,6.9,4.5,35.4,16.1,31.1,9,7
Los Angeles Lakers,2017,87,105.6,8.7,22.3,8.4,4.6,33.6,15.6,31.0,15,8
Golden State Warriors,2016,115,114.1,12.9,28.6,8.7,6.0,35.7,14.9,80.9,1,1
San Antonio Spurs,2016,97,104.1,7.8,23.5,8.5,5.8,33.3,13.0,78.4,12,6
Cleveland Cavaliers,2016,111,107.4,12.0,22.6,7.2,4.0,33.5,13.2,71.2,4,24
